 ,,,,,,,,,,,,,,,
敏感词,Sensitive Word,https://chinadigitaltimes.net/2018/02/sensitive-words-emperor-xi-jinping-ascend-throne/,第一次测试日期/结果 Date/Result of Test 1,,第二次测试日期/结果 Date/Result of Test 2,,第三次测试日期/结果 Date/Result of Test 3,,第四次测试日期/结果 Date/Result of Test 4,,第五次测试日期/结果 Date/Result of Test 5,,第六次测试日期/结果 Date/Result of Test 6,,"“中国数字时代敏感词开源研究项目”是网站《中国数字时代》的一个研究项目，目前在更新新浪微博搜索敏感词列表。请网友参与，提供敏感词线索，共同构建和完善该敏感词列表。
"
新闻联播,,,2018-07-13,Y,,,,,,,,,,,Key
john oliver,,,2018-06-21,Y,2018-07-13,N,,,,,,,,,Y=屏蔽 Blocked
last week tonight,,,2018-06-21,Y,2018-07-13,N,,,,,,,,,N=未屏蔽 Not Blocked
上周今夜秀,,,2018-06-21,Y,2018-07-13,Y,,,,,,,,,F=结果过滤 Filtered*
蓝衣女记者,blue-clothed female reporter,https://chinadigitaltimes.net/2018/03/minitrue-do-not-hype-reporters-two-sessions-eyeroll/,2018-03-13,Y,,,,,,,,,,,*截止至2018年2月28日，“过滤”指搜索结果只显示蓝V内容。
蓝衣记者,blue-clothed reporter,https://chinadigitaltimes.net/2018/03/minitrue-do-not-hype-reporters-two-sessions-eyeroll/,2018-03-13,Y,,,,,,,,,,,"*""Filtered"" Weibo search displays results from verified business accounts (w/ blue ""V"") only."
梁相宜,Liang Xiangyi ,https://chinadigitaltimes.net/2018/03/minitrue-do-not-hype-reporters-two-sessions-eyeroll/,2018-03-13,Y,,,,,,,,,,,
天降伟人,great men sent from heaven,https://chinadigitaltimes.net/2018/02/sensitive-words-emperor-xi-jinping-ascend-throne/,2018-02-26,Y,2018-02-28,Y,,,,,,,,,中文版RSS订阅
奴隶制,slavery,https://chinadigitaltimes.net/2018/02/sensitive-words-emperor-xi-jinping-ascend-throne/,2018-02-27,Y,2018-02-28,F,,,,,,,,,http://chinadigitaltimes.net/chinese/category/level-2-article/feed/
千秋万载,thousands of years,https://chinadigitaltimes.net/2018/02/sensitive-words-emperor-xi-jinping-ascend-throne/,2018-02-28,Y,2018-02-28,Y,,,,,,,,,http://chinadigitaltimes.net/chinese/category编辑推荐/feed/
